type, event, jet, pt, mass, eta, phi, charge
2,5,2,1.23125,8.6888e-08,-1.26805,2.44764,0
2,5,2,5.29725,-3.90854e-07,-1.33091,2.40827,0
2,5,2,8.65802,-1.19209e-07,-1.31668,2.44519,0
2,5,2,16.7781,0.13957,-1.30236,2.44576,1
2,5,2,8.16236,-4.91512e-07,-1.28812,2.43435,0
2,5,2,2.06949,-7.30005e-08,-1.29731,2.43873,0
2,5,2,12.4086,5.59141e-07,-1.30647,2.4371,0
2,5,2,13.3902,0.13957,-1.31074,2.42547,-1
2,5,2,5.23449,-3.09715e-07,-1.30352,2.42059,0
2,5,2,5.87838,-2.79571e-07,-1.30797,2.41555,0
2,5,2,16.1102,-2.38419e-07,-1.30658,2.41728,0
1,5,2,272.079,39.4792,-1.23955,2.38193,0.0596448
2,5,3,1.63132,0.13957,-2.78451,3.12635,-1
2,5,3,1.35203,2.08616e-07,-2.31213,3.33274,0
2,5,3,1.4688,2.25987e-07,-2.34277,3.24196,0
2,5,3,6.60335,0.13957,-2.35924,3.1231,1
2,5,3,3.84,0.13957,-2.35666,3.06251,-1
2,5,3,4.59632,0.13957,-2.45964,2.99165,1
2,5,3,5.1953,0.13957,-2.43157,3.03813,1
2,5,3,9.50536,0.13957,-2.50862,3.08478,1
2,5,3,6.67923,0,-2.47164,3.07313,0
2,5,3,10.9811,5.05762e-07,-2.47755,3.08774,0
1,5,3,51.7601,5.45396,-2.45913,3.08637,0.393981
2,5,4,1.12564,0,-0.136596,2.38248,0
2,5,4,1.8509,0.13957,-0.86014,1.8782,1
2,5,4,1.45407,0.13957,-0.727562,2.09835,1
2,5,4,3.72132,0.49368,-0.32516,2.03552,1
2,5,4,1.77919,0.13957,-0.425072,2.02995,-1
2,5,4,1.25515,0.13957,-0.391262,1.82998,1
2,5,4,6.72697,0.13957,-0.542788,1.94602,-1
2,5,4,8.20172,-1.19209e-07,-0.587776,1.85398,0
2,5,4,1.48201,0.49368,-0.231815,2.21929,-1
2,5,4,2.26265,0.13957,-0.027142,2.07268,1
2,5,4,2.62437,0.13957,-0.092963,2.09815,1
2,5,4,3.72482,0.13957,-0.0854754,2.17267,-1
2,5,4,1.80303,0.13957,-0.0525264,2.1296,1
1,5,4,37.6687,11.2436,-0.403633,2.00987,0.0331084
2,5,5,1.97547,-2.10734e-08,0.804603,6.1807,0
2,5,5,4.1845,0.49761,1.48335,0.0806433,0
2,5,5,1.23046,0.13957,1.18407,0.277302,1
2,5,5,1.6315,0.13957,1.12859,0.247324,-1
2,5,5,1.27419,0.93957,1.36525,6.20078,0
2,5,5,6.68815,0.13957,1.22534,0.0263852,1
2,5,5,5.40134,0.13957,1.09192,0.126007,1
2,5,5,6.60321,0.13957,1.12664,0.0903275,-1
1,5,5,28.8771,7.00072,1.20002,0.0768584,0.175421
2,5,6,1.09266,4.21468e-08,-1.26056,5.57023,0
2,5,6,3.59996,0.13957,-0.8768,5.58384,1
2,5,6,1.62754,-5.16191e-08,-0.818778,5.6798,0
2,5,6,1.82606,0.13957,-0.791126,5.68748,-1
2,5,6,1.44902,0.49761,-0.727468,5.63135,0
2,5,6,4.2236,0.93957,-0.723693,5.53294,0
2,5,6,1.91141,0.13957,-0.70988,5.58227,-1
2,5,6,3.18878,0.49368,-0.78176,5.6341,-1
2,5,6,9.18322,0.93957,-0.791995,5.56553,0
1,5,6,28.0727,5.21309,-0.807178,5.59,-0.118364
#
0,6,3
2,6,1,2.04599,0.13957,1.44362,1.90617,-1
2,6,1,1.12259,0.49368,1.65511,1.07658,1
2,6,1,1.56338,0.13957,1.67631,1.25848,-1
2,6,1,3.16405,0.13957,0.98719,1.22771,1
2,6,1,1.09372,0.13957,1.06692,1.72438,-1
2,6,1,2.50886,0.13957,1.59613,1.68158,1
2,6,1,2.64958,0.13957,1.23587,1.07635,1
2,6,1,1.65832,2.98023e-08,1.32846,1.07927,0
2,6,1,2.10501,2.98023e-08,1.01074,1.56258,0
2,6,1,1.91559,0.49761,1.14715,1.23596,0
2,6,1,2.2149,0.49368,1.42835,1.68255,1
2,6,1,1.2063,0.13957,1.18175,1.6339,-1
2,6,1,2.32434,0.13957,1.49414,1.39868,-1
2,6,1,1.2069,0.13957,1.45399,1.39067,-1
2,6,1,2.1218,-9.42432e-08,1.41891,1.52446,0
2,6,1,1.65473,-4.21468e-08,1.43711,1.45475,0
2,6,1,4.04578,1.88486e-07,1.43094,1.48172,0
2,6,1,3.205,5.96046e-08,1.23792,1.48787,0
2,6,1,6.95358,0.13957,1.2378,1.42924,1
2,6,1,1.57792,0.13957,1.36679,1.41792,-1
2,6,1,1.67008,0.49368,1.37585,1.44435,-1
2,6,1,4.62522,0.13957,1.30826,1.46363,1
2,6,1,20.1506,0.13957,1.29945,1.45379,1
2,6,1,14.828,0,1.3119,1.42478,0
2,6,1,18.8484,-4.76837e-07,1.30759,1.43161,0
2,6,1,78.0398,0.49368,1.30908,1.44162,1
2,6,1,23.0942,0.13957,1.31149,1.43211,-1
1,6,1,206.641,29.3612,1.31915,1.43903,0.412565
2,6,2,3.08067,0.49368,0.390643,4.30442,-1
2,6,2,2.52646,0.13957,0.764246,4.15934,-1
2,6,2,3.91463,0.13957,0.75748,4.17035,-1
2,6,2,1.89654,0.13957,0.54684,4.39978,-1
2,6,2,14.1516,0.93827,0.624221,4.32252,1
2,6,2,2.59837,-5.16191e-08,0.592235,4.30665,0
2,6,2,3.72048,0.13957,0.576196,4.25445,1
2,6,2,10.8761,-1.68587e-07,0.581365,4.2837,0
2,6,2,1.02372,3.332e-08,0.593657,4.29349,0
2,6,2,9.34876,0.49368,0.597596,4.28003,1
2,6,2,6.28075,0.13957,0.615998,4.2847,-1
2,6,2,27.1985,0.93957,0.633703,4.25449,0
2,6,2,3.54839,4.21468e-08,0.632103,4.234,0
2,6,2,3.0555,0.13957,0.642175,3.74072,1
2,6,2,2.03585,2.98023e-08,0.530918,3.98719,0
2,6,2,3.60337,0.49761,0.985463,3.94548,0
2,6,2,1.71607,0.13957,0.566588,4.00853,-1
2,6,2,3.07783,0.93957,0.875939,4.09438,0
2,6,2,2.24277,0.13957,0.776219,4.08383,1
2,6,2,2.99021,-7.30005e-08,0.637682,3.98073,0
2,6,2,3.8545,-5.96046e-08,0.857991,4.00365,0
2,6,2,2.9477,-5.96046e-08,0.696366,4.01904,0
2,6,2,4.32352,0.13957,0.68973,3.93762,-1
2,6,2,6.378,0.13957,0.771471,4.00513,-1
2,6,2,3.91947,-9.42432e-08,0.719229,3.9085,0
2,6,2,4.28249,0.93957,0.774236,3.96856,0
2,6,2,9.67304,-3.15398e-07,0.786248,3.96701,0
2,6,2,2.18924,5.96046e-08,0.768354,3.8837,0
2,6,2,3.96401,4.21468e-08,0.802231,3.93075,0
2,6,2,19.6416,0.13957,0.776734,3.91175,1
2,6,2,4.16369,5.96046e-08,0.769008,3.93066,0
1,6,2,171.723,36.4777,0.699282,4.11787,0.126527
2,6,3,1.26335,0.13957,1.10321,5.51666,-1
2,6,3,2.08363,6.664e-08,0.765857,4.79187,0
2,6,3,1.03653,2.58096e-08,0.641218,4.86408,0
2,6,3,1.47257,0.13957,0.751978,4.84581,-1
2,6,3,3.48588,0.13957,0.545013,4.93169,1
2,6,3,6.25302,0.13957,0.97455,4.93328,1
2,6,3,2.79936,0.13957,0.41757,5.21812,-1
2,6,3,2.01383,-2.98023e-08,0.854542,4.94193,0
2,6,3,4.14844,0.13957,0.790881,4.94746,1
2,6,3,2.77542,0.13957,0.788731,4.97108,1
2,6,3,3.75167,8.42937e-08,0.851978,4.99097,0
2,6,3,6.10079,0.13957,0.584404,5.13117,1
2,6,3,3.50852,0.13957,0.783894,5.07144,-1
2,6,3,1.09244,2.10734e-08,0.773037,5.07071,0
2,6,3,2.77741,0.13957,0.739788,5.07845,-1
2,6,3,1.97467,0.13957,0.675178,5.14821,-1
