type, event, jet, pt, mass, eta, phi, charge
1,11,1,229.365,1,-0.129545,4.03051,0
2,11,2,1.94123,0.93957,1.18897,1.94245,0
2,11,2,1.0145,-8.9407e-08,0.734794,1.463,0
2,11,2,2.69728,0.13957,0.787184,1.65966,1
2,11,2,16.3516,0.13957,0.766316,1.56346,-1
2,11,2,124.047,0.13957,0.785286,1.57237,1
2,11,2,33.1524,0.13957,0.786925,1.58693,-1
1,11,2,179.056,13.1445,0.789236,1.57887,0.431019
2,11,3,1.81659,-2.98023e-08,0.0516137,5.53846,0
2,11,3,2.20616,5.16191e-08,-0.333639,5.46385,0
2,11,3,1.53833,0.13957,-0.281744,5.51748,-1
2,11,3,1.76609,0.13957,-0.542833,6.08652,-1
2,11,3,1.99107,0.13957,-0.57456,5.66117,1
2,11,3,1.36221,2.58096e-08,-0.297209,5.58186,0
2,11,3,3.36257,8.42937e-08,-0.2859,5.56921,0
2,11,3,4.7011,0.13957,-0.12177,5.76539,1
2,11,3,7.63702,0.13957,-0.253363,5.71618,1
2,11,3,2.39898,0.13957,-0.305817,5.71094,-1
2,11,3,2.39869,0.13957,-0.508553,6.03966,1
2,11,3,1.09379,-2.10734e-08,-0.480869,5.96485,0
2,11,3,1.82574,0.13957,-0.475018,5.94231,-1
2,11,3,2.24289,0.13957,-0.294564,5.80454,-1
2,11,3,9.10074,0.13957,-0.310228,5.99395,1
2,11,3,1.78574,-4.21468e-08,-0.291749,5.87381,0
2,11,3,2.01298,0,-0.408028,5.89465,0
2,11,3,5.36521,8.42937e-08,-0.383151,5.92734,0
2,11,3,7.57821,0.13957,-0.348454,5.88289,-1
2,11,3,5.23839,0.13957,-0.349027,5.88992,1
1,11,3,66.5621,13.4979,-0.328597,5.8209,0.203445
2,11,4,1.13655,-2.58096e-08,0.798852,5.78048,0
2,11,4,2.69445,-2.98023e-08,0.394551,5.67266,0
2,11,4,1.56149,0,0.299393,5.55935,0
2,11,4,1.30046,2.58096e-08,0.678986,5.60379,0
2,11,4,4.09083,-8.42937e-08,0.646479,5.27678,0
2,11,4,2.3638,0.13957,0.455556,5.27885,-1
2,11,4,6.43045,0.13957,0.475506,5.47068,-1
2,11,4,10.8552,0.93827,0.568008,5.47003,1
2,11,4,2.56968,-5.96046e-08,0.621835,5.31034,0
2,11,4,3.42778,0.13957,0.59227,5.31939,1
2,11,4,1.28728,1.49012e-08,0.550921,5.42247,0
2,11,4,3.67422,0.49368,0.51783,5.38906,-1
2,11,4,12.0373,0.93957,0.530228,5.36565,0
1,11,4,53.0945,8.28684,0.545547,5.42172,0.0339612
2,11,5,1.72425,0.93957,2.3379,0.968085,0
2,11,5,2.05191,0.13957,2.03014,1.07641,1
2,11,5,1.4457,6.98926e-08,1.51099,0.957823,0
2,11,5,4.80283,0.93957,1.9596,0.880884,0
2,11,5,2.6067,0.13957,1.64629,0.786563,-1
2,11,5,2.50947,1.39785e-07,1.67931,0.970873,0
